| Hits | Gross [ms] | Net [ms] | Gross % | Net % | Statement/Event | Program Called | Calling Program |
| 3 | 262.928.431 | 720 | 99,44 | <0,01 | Call M. ZCL_ABAPGIT_GIT_PORCELAIN=>PULL_BY_BRANCH | ZCL_ABAPGIT_REPO_ONLINE=======CP | ZCL_ABAPGIT_REPO_ONLINE=======CP |
| 6 | 255.401.369 | 38 | 96,59 | <0,01 | Try | ZCL_ABAPGIT_GIT_TRANSPORT=====CP | ZCL_ABAPGIT_GIT_TRANSPORT=====CP |
| 6 | 255.401.331 | 364 | 96,59 | <0,01 | Call M. ZCL_ABAPGIT_ORTEC_FASTPATH=>UPLOAD_PACK_BY_BRANCH | ZCL_ABAPGIT_GIT_TRANSPORT=====CP | ZCL_ABAPGIT_GIT_TRANSPORT=====CP |
| 1 | 199.620.174 | 13 | 75,5 | <0,01 | Try | ZCL_ABAPGIT_STAGE_LOGIC=======CP | ZCL_ABAPGIT_STAGE_LOGIC=======CP |
| 1 | 199.620.139 | 4 | 75,5 | <0,01 | Call M. ZCL_ABAPGIT_ORTEC_GIT_FACADE=>RESOLVE_FILTERED_REMOTE | ZCL_ABAPGIT_STAGE_LOGIC=======CP | ZCL_ABAPGIT_STAGE_LOGIC=======CP |
| 1 | 199.620.117 | 17 | 75,5 | <0,01 | Call M. ZCL_ABAPGIT_ORTEC_FILTER_WALK=>GET_REMOTE_FILES_FOR_STAGE | ZCL_ABAPGIT_ORTEC_GIT_FACADE==CP | ZCL_ABAPGIT_ORTEC_GIT_FACADE==CP |
| 3 | 159.878.797 | 36 | 60,47 | <0,01 | Call M. ZCL_ABAPGIT_GIT_TRANSPORT=>UPLOAD_PACK_BY_BRANCH | ZCL_ABAPGIT_GIT_PORCELAIN=====CP | ZCL_ABAPGIT_GIT_PORCELAIN=====CP |
| 12 | 157.359.852 | 371 | 59,51 | <0,01 | Try | ZCL_ABAPGIT_ORTEC_FASTPATH====CP | ZCL_ABAPGIT_ORTEC_FASTPATH====CP |
| 12 | 157.325.193 | 1.522 | 59,5 | <0,01 | Call M. ZCL_ABAPGIT_ORTEC_PACK_DEC=>DECODE_AND_PERSIST | ZCL_ABAPGIT_ORTEC_FASTPATH====CP | ZCL_ABAPGIT_ORTEC_FASTPATH====CP |
| 12 | 157.096.810 | 1.888 | 59,41 | <0,01 | Try | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP |
| 12 | 156.896.014 | 631.971 | 59,34 | 0,24 | Call M. ZCL_ABAPGIT_ORTEC_PACK_DEC=>RESUMABLE_DECODE | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP |
| 12 | 150.337.342 | 265 | 56,86 | <0,01 | Abap Sql ZAOG_OBJ_STORE | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP |
| 12 | 150.328.729 | 43.822.984 | 56,86 | 16,57 | Fetch ZAOG_OBJ_STORE | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP |
| 6 | 142.530.022 | 21 | 53,91 | <0,01 | Try | ZCL_ABAPGIT_ORTEC_FASTPATH====CP | ZCL_ABAPGIT_ORTEC_FASTPATH====CP |
| 6 | 142.530.001 | 536 | 53,91 | <0,01 | Call M. ZCL_ABAPGIT_ORTEC_FASTPATH=>UPLOAD_PACK | ZCL_ABAPGIT_ORTEC_FASTPATH====CP | ZCL_ABAPGIT_ORTEC_FASTPATH====CP |
| 1 | 126.331.962 | 35 | 47,78 | <0,01 | Try | ZCL_ABAPGIT_ORTEC_FILTER_WALK=CP | ZCL_ABAPGIT_ORTEC_FILTER_WALK=CP |
| 1 | 126.327.304 | 10 | 47,78 | <0,01 | Call M. {O:209*ZCL_ABAPGIT_REPO_ONLINE}->ZIF_ABAPGIT_REPO~GET_FILES_REMOTE | ZCL_ABAPGIT_ORTEC_FILTER_WALK=CP | ZCL_ABAPGIT_ORTEC_FILTER_WALK=CP |
| 6 | 110.577.453 | 21 | 41,82 | <0,01 | Try | ZCL_ABAPGIT_ORTEC_FASTPATH====CP | ZCL_ABAPGIT_ORTEC_FASTPATH====CP |
| 6 | 110.577.432 | 906 | 41,82 | <0,01 | Call M. ZCL_ABAPGIT_ORTEC_FASTPATH=>UPLOAD_PACK | ZCL_ABAPGIT_ORTEC_FASTPATH====CP | ZCL_ABAPGIT_ORTEC_FASTPATH====CP |
| 31.861 | 106.505.745 | 106.505.745 | 40,28 | 40,28 | DB: Fetch ZAOG_OBJ_STORE | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP |
| 3 | 98.963.225 | 707 | 37,43 | <0,01 | Try | ZCL_ABAPGIT_GIT_PORCELAIN=====CP | ZCL_ABAPGIT_GIT_PORCELAIN=====CP |
| 3 | 95.523.014 | 22 | 36,13 | <0,01 | Call M. ZCL_ABAPGIT_GIT_TRANSPORT=>UPLOAD_PACK_BY_BRANCH | ZCL_ABAPGIT_GIT_PORCELAIN=====CP | ZCL_ABAPGIT_GIT_PORCELAIN=====CP |
| 4 | 74.192.684 | 242 | 28,06 | <0,01 | Loop At LT_DELTA_BASES | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP |
| 1 | 73.288.136 | 5 | 27,72 | <0,01 | Call M. {O:209*ZCL_ABAPGIT_REPO_ONLINE}->ZIF_ABAPGIT_REPO~GET_FILES_REMOTE | ZCL_ABAPGIT_ORTEC_FILTER_WALK=CP | ZCL_ABAPGIT_ORTEC_FILTER_WALK=CP |
| 7 | 67.412.038 | 335 | 25,5 | <0,01 | Loop At LT_DELTA_BASES | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP | ZCL_ABAPGIT_ORTEC_PACK_DEC====CP |
| 1 | 63.317.679 | 5 | 23,95 | <0,01 | Call M. {O:209*ZCL_ABAPGIT_REPO_ONLINE}->ZIF_ABAPGIT_REPO~GET_FILES_REMOTE | ZCL_ABAPGIT_STAGE_LOGIC=======CP | ZCL_ABAPGIT_STAGE_LOGIC=======CP |
| 12 | 56.920.970 | 27.785 | 21,53 | 0,01 | Call M. ZCL_ABAPGIT_GIT_PACK=>DECODE | ZCL_ABAPGIT_ORTEC_FASTPATH====CP | ZCL_ABAPGIT_ORTEC_FASTPATH====CP |
| 1.068 | 56.477.214 | 51.283 | 21,36 | 0,02 | Call M. ZCL_ABAPGIT_GIT_PACK=>ZLIB_DECOMPRESS | ZCL_ABAPGIT_GIT_PACK==========CP | ZCL_ABAPGIT_GIT_PACK==========CP |
| 1.068 | 52.075.745 | 14.605 | 19,7 | 0,01 | Call M. ZCL_ABAPGIT_ZLIB=>DECOMPRESS | ZCL_ABAPGIT_GIT_PACK==========CP | ZCL_ABAPGIT_GIT_PACK==========CP |
| 684 | 47.682.091 | 13.969.263 | 18,03 | 5,28 | Call M. ZCL_ABAPGIT_ZLIB=>DECODE_LOOP_FAST | ZCL_ABAPGIT_ZLIB==============CP | ZCL_ABAPGIT_ZLIB==============CP |
| 12 | 31.275.891 | 68 | 11,83 | <0,01 | Try | ZCL_ABAPGIT_ORTEC_FASTPATH====CP | ZCL_ABAPGIT_ORTEC_FASTPATH====CP |
| 6 | 31.191.124 | 121 | 11,8 | <0,01 | Call M. ZCL_ABAPGIT_ORTEC_FETCH_NEG=>GET_VERIFIED_HAVE_COMMITS | ZCL_ABAPGIT_ORTEC_FASTPATH====CP | ZCL_ABAPGIT_ORTEC_FASTPATH====CP |
| 6 | 31.087.840 | 51.223 | 11,76 | 0,02 | Call M. ZCL_ABAPGIT_ORTEC_FETCH_NEG=>IS_COMMIT_COMPLETE | ZCL_ABAPGIT_ORTEC_FETCH_NEG===CP | ZCL_ABAPGIT_ORTEC_FETCH_NEG===CP |
| 6 | 29.056.394 | 76 | 10,99 | <0,01 | Try | ZCL_ABAPGIT_ORTEC_FETCH_NEG===CP | ZCL_ABAPGIT_ORTEC_FETCH_NEG===CP |
